customer_id,join_date,age,gender,region_code,is_married,prefer_category,income_group
C000085,2020-07-24,40,M,R05,1,Beauty,G2
C000086,2020-03-21,46,F,R04,0,Grocery,G2
C000087,2022-07-20,57,F,R03,0,Fashion,G4
C000090,2021-01-22,19,F,R04,0,Grocery,G5
C000091,2020-01-02,22,M,R02,1,Home,G2
C000092,2021-01-24,41,M,R07,1,Grocery,G3
C000093,2021-07-19,35,F,R06,1,Grocery,G3
C000094,2020-04-15,19,F,R06,1,Grocery,G3
C000095,2022-02-10,39,F,R04,1,Fashion,G1
C000097,2021-04-21,24,M,R02,1,Electronics,G3
C000100,2021-12-30,26,M,R03,1,Electronics,G2
C000101,2021-07-09,35,M,R04,0,Grocery,G2
C000106,2020-09-26,33,M,R04,1,Beauty,G3
C000108,2022-03-26,19,F,R02,1,Fashion,G4
C000109,2020-09-27,26,M,R02,1,Grocery,G3
C000112,2021-12-27,41,M,R02,1,Electronics,G3
C000113,2020-09-08,20,F,R01,0,Grocery,G2
C000114,2021-12-02,46,F,R06,0,Electronics,G4
C000117,2021-12-20,36,M,R06,1,Home,G2
C000118,2022-01-18,29,F,R03,1,Electronics,G2
C000119,2020-12-03,51,M,R05,0,Grocery,G5
C000120,2022-05-28,30,F,R01,0,Beauty,G2
C000122,2022-03-02,46,M,R07,1,Beauty,G3
C000124,2020-08-04,28,F,R07,0,Grocery,G5
C000126,2020-07-06,30,F,R04,1,Beauty,G3
C000127,2021-01-14,44,F,R03,0,Fashion,G3
C000130,2020-06-05,20,M,R04,1,Electronics,G1
C000131,2020-01-15,24,M,R07,1,Grocery,G5
C000132,2022-03-23,46,F,R02,0,Electronics,G3
C000133,2020-03-05,41,F,R07,1,Beauty,G3
C000134,2022-05-06,42,M,R05,1,Fashion,G2
C000137,2020-12-09,41,M,R03,1,Fashion,G4
C000139,2021-10-09,41,F,R06,0,Beauty,G3
C000140,2021-04-16,23,F,R01,1,Fashion,G5
C000142,2020-05-18,28,M,R03,1,Grocery,G5
C000144,2021-08-15,24,M,R07,1,Beauty,G4
C000146,2021-11-05,19,F,R06,0,Beauty,G3
C000147,2021-02-22,47,M,R07,1,Grocery,G3
C000149,2021-01-13,42,F,R07,0,Home,G3
C000153,2020-02-10,47,F,R03,0,Grocery,G3
C000154,2020-01-28,37,M,R05,1,Beauty,G2
C000155,2020-05-14,32,M,R04,1,Electronics,G3
C000156,2020-07-19,31,M,R06,1,Electronics,G1
C000158,2022-02-18,54,F,R03,1,Electronics,G2
C000160,2020-02-02,54,F,R05,0,Electronics,G3
C000163,2021-02-10,36,F,R07,1,Fashion,G2
C000164,2021-07-27,29,M,R04,0,Home,G3
C000165,2021-12-28,45,F,R07,1,Fashion,G2
C000166,2022-03-15,34,M,R03,1,Grocery,G2
C000167,2020-04-08,31,M,R02,1,Fashion,G2
C000168,2021-11-14,31,M,R05,1,Grocery,G2
C000169,2022-05-21,27,F,R04,0,Home,G3
C000170,2021-12-26,43,F,R04,0,Beauty,G3
C000172,2021-06-30,28,F,R03,1,Home,G2
C000174,2022-01-08,39,M,R06,1,Electronics,G4
C000175,2021-09-04,25,M,R05,0,Home,G2
C000178,2021-10-04,46,F,R07,0,Electronics,G4
C000179,2022-02-07,52,M,R05,0,Fashion,G5
C000182,2021-05-17,50,M,R04,0,Grocery,G2
C000184,2021-02-01,47,M,R06,1,Beauty,G4
C000185,2022-05-20,36,F,R06,1,Grocery,G3
C000186,2022-03-05,39,F,R02,0,Fashion,G5
C000189,2020-01-15,26,F,R06,1,Grocery,G4
C000190,2022-05-07,42,M,R06,1,Fashion,G1
C000193,2021-04-05,34,M,R04,0,Home,G2
C000194,2021-11-21,41,M,R05,1,Grocery,G2
C000201,2022-06-18,19,F,R05,0,Electronics,G3
C000202,2022-01-03,43,F,R03,1,Fashion,G4
C000204,2021-02-10,45,F,R06,0,Fashion,G2
C000205,2020-08-18,45,F,R06,0,Grocery,G3
C000206,2022-01-18,45,F,R07,1,Home,G3
C000207,2021-10-16,32,F,R04,0,Electronics,G4
C000208,2020-06-19,33,F,R03,1,Beauty,G2
C000210,2020-02-05,19,F,R01,1,Fashion,G2
C000212,2020-06-08,29,F,R03,0,Grocery,G2
C000214,2021-11-29,39,F,R07,1,Beauty,G2
C000215,2020-08-30,59,M,R07,0,Grocery,G4
C000216,2020-03-26,31,F,R04,1,Electronics,G2
C000217,2022-03-06,41,F,R02,1,Electronics,G2
C000218,2021-07-31,19,F,R07,1,Electronics,G2
C000219,2021-11-12,31,M,R03,1,Fashion,G5
C000221,2021-07-27,31,F,R06,1,Grocery,G1
C000224,2022-03-06,27,M,R05,1,Beauty,G4
C000228,2020-12-05,27,F,R07,1,Grocery,G2
C000229,2022-03-08,32,F,R06,1,Electronics,G4
C000230,2022-08-15,49,F,R05,1,Home,G4
C000231,2020-11-26,31,F,R02,1,Beauty,G4
C000232,2021-10-01,27,F,R06,0,Grocery,G5
C000233,2021-05-20,49,F,R03,0,Grocery,G3
C000234,2020-12-13,35,F,R03,1,Home,G2
C000235,2021-04-17,32,M,R01,1,Grocery,G5
C000236,2020-08-18,37,F,R04,1,Home,G1
C000237,2020-07-08,47,F,R03,1,Electronics,G2
C000239,2021-01-19,28,F,R02,0,Fashion,G1
C000241,2020-10-09,19,M,R06,1,Electronics,G3
C000242,2022-08-15,25,M,R04,1,Beauty,G2
C000244,2021-09-19,36,F,R02,1,Fashion,G4
C000245,2022-08-30,40,M,R01,0,Beauty,G3
C000247,2020-09-15,45,M,R07,0,Grocery,G3
C000248,2020-12-24,37,M,R03,0,Electronics,G2
C000250,2021-03-31,41,M,R03,1,Home,G4
C000253,2020-11-13,28,F,R05,0,Beauty,G3
C000255,2020-08-12,56,F,R02,1,Electronics,G4
C000256,2022-03-29,51,M,R07,1,Fashion,G2
C000258,2021-11-14,35,M,R01,1,Electronics,G3
C000259,2021-10-25,27,M,R05,0,Fashion,G4
C000260,2022-09-01,27,F,R06,0,Home,G2
C000261,2022-04-06,47,M,R02,1,Fashion,G1
C000263,2021-11-02,41,M,R05,0,Fashion,G4
C000264,2021-08-30,35,F,R03,0,Home,G2
C000270,2021-05-11,38,F,R01,1,Electronics,G2
C000273,2020-09-24,36,F,R04,1,Home,G4
C000276,2021-01-20,36,M,R05,1,Fashion,G4
C000277,2021-01-21,19,M,R04,0,Beauty,G3
C000280,2021-09-16,34,M,R06,0,Fashion,G2
C000282,2020-03-21,42,F,R07,1,Electronics,G3
C000283,2021-11-29,53,M,R07,1,Fashion,G1
C000285,2020-01-02,45,F,R04,1,Beauty,G4
C000287,2020-08-07,41,F,R05,1,Home,G1
C000288,2021-07-19,58,F,R06,0,Grocery,G3
C000290,2022-09-23,49,F,R04,0,Home,G2
C000291,2022-01-05,31,F,R01,0,Electronics,G2
C000293,2021-01-19,24,M,R02,1,Home,G3
C000294,2021-02-06,29,M,R03,1,Electronics,G2
C000295,2021-09-29,38,F,R04,0,Beauty,G1
C000297,2020-02-22,38,F,R03,1,Home,G3
C000299,2021-12-30,37,F,R01,0,Electronics,G4
C000300,2021-11-02,43,M,R07,1,Beauty,G4
C000302,2021-02-19,40,M,R06,1,Home,G3
C000303,2020-09-03,50,F,R07,1,Grocery,G1
C000304,2022-04-15,19,M,R02,1,Home,G2
C000307,2020-07-02,19,F,R05,1,Grocery,G3
C000308,2020-05-02,55,F,R03,1,Beauty,G1
C000309,2021-02-04,32,M,R07,0,Electronics,G5
C000311,2020-10-20,44,F,R06,1,Home,G1
C000312,2020-10-06,27,F,R06,0,Beauty,G2
C000316,2020-07-16,49,M,R02,0,Fashion,G4
C000317,2022-09-08,37,F,R07,1,Beauty,G2
C000318,2022-06-25,28,F,R01,1,Grocery,G5
C000319,2021-05-25,55,M,R04,0,Beauty,G4
C000320,2022-01-21,19,F,R04,1,Electronics,G2
C000321,2020-05-23,32,M,R07,1,Home,G3
C000323,2020-07-19,19,M,R03,1,Fashion,G4
C000325,2020-07-05,33,M,R02,1,Home,G2
C000328,2020-12-14,48,M,R03,1,Fashion,G2
C000330,2021-10-21,43,M,R02,1,Grocery,G4
C000332,2022-08-12,31,F,R02,1,Electronics,G2
C000333,2022-07-20,39,F,R05,0,Beauty,G4
C000335,2020-12-11,43,M,R02,1,Electronics,G2
C000337,2021-05-25,23,M,R07,0,Home,G5
C000338,2020-05-26,38,M,R06,1,Beauty,G3
C000339,2020-05-27,34,M,R01,0,Grocery,G2
C000340,2022-05-13,40,M,R04,0,Fashion,G2
C000341,2021-12-11,32,M,R05,1,Electronics,G2
C000344,2022-07-17,23,M,R02,1,Beauty,G3
C000347,2021-07-04,30,F,R05,1,Beauty,G2
C000349,2022-05-21,57,F,R07,0,Home,G5
C000350,2021-10-02,32,F,R06,0,Electronics,G2
C000351,2022-02-17,31,F,R07,1,Electronics,G3
C000353,2022-08-10,24,M,R07,0,Home,G5
C000358,2022-09-16,19,M,R02,1,Electronics,G2
C000359,2020-10-24,48,M,R05,0,Fashion,G3
C000361,2020-09-19,35,M,R07,1,Home,G5
C000362,2022-02-02,36,F,R06,1,Fashion,G4
C000364,2020-12-11,19,M,R07,1,Fashion,G3
C000365,2021-09-15,40,F,R07,1,Fashion,G2
C000367,2022-05-30,39,F,R02,0,Grocery,G3
C000368,2020-01-02,40,M,R01,1,Beauty,G2
C000369,2022-06-15,56,M,R06,1,Electronics,G3
C000371,2020-09-10,22,F,R07,1,Home,G4
C000372,2021-10-13,39,F,R01,0,Fashion,G2
C000373,2021-03-28,34,M,R04,1,Electronics,G4
C000376,2020-01-09,34,F,R01,1,Grocery,G4
C000377,2020-08-20,47,F,R06,1,Electronics,G2
C000378,2020-04-08,48,F,R04,1,Beauty,G4
C000382,2020-05-10,19,M,R02,0,Home,G3
C000383,2021-02-07,27,M,R02,0,Home,G4
C000385,2020-02-23,41,M,R03,0,Fashion,G2
C000386,2020-04-29,39,F,R06,1,Electronics,G4
C000387,2021-11-03,38,M,R06,1,Beauty,G5
C000388,2022-07-08,33,M,R07,0,Grocery,G3
C000389,2021-09-19,39,M,R05,0,Home,G2
C000390,2021-08-09,51,F,R04,1,Beauty,G4
C000391,2021-09-16,54,M,R07,0,Electronics,G4
C000392,2022-08-25,47,F,R06,0,Electronics,G3
C000393,2021-02-23,49,F,R03,1,Beauty,G2
C000394,2021-02-25,36,F,R03,1,Home,G2
C000395,2020-04-13,64,M,R03,0,Fashion,G1
C000396,2022-05-01,20,F,R07,1,Electronics,G5
C000397,2020-09-10,38,M,R02,0,Beauty,G2
C000398,2020-08-14,44,F,R03,1,Beauty,G4
C000404,2022-05-10,31,M,R01,1,Home,G3
C000405,2022-07-02,30,M,R06,1,Home,G3
C000406,2022-06-14,39,F,R03,0,Electronics,G2
C000409,2021-12-06,19,M,R06,1,Home,G2
C000410,2022-04-01,30,M,R02,1,Fashion,G4
C000412,2021-12-20,49,F,R01,1,Fashion,G5
C000413,2022-08-14,39,M,R05,1,Fashion,G3
C000414,2021-11-11,37,F,R05,1,Beauty,G3
C000415,2022-09-22,27,M,R03,1,Fashion,G4
C000416,2020-06-09,67,F,R02,0,Beauty,G2
C000419,2021-02-01,36,M,R04,1,Home,G4
C000421,2022-03-26,20,M,R05,1,Grocery,G3
C000422,2022-07-04,40,M,R05,0,Fashion,G1
C000425,2021-01-26,48,F,R01,1,Fashion,G4
C000426,2020-05-14,19,M,R02,1,Fashion,G3
C000427,2020-07-13,30,F,R06,1,Beauty,G2
C000428,2021-02-04,19,F,R01,0,Home,G4
C000433,2022-08-12,38,F,R05,1,Home,G3
C000435,2021-04-14,36,F,R03,1,Electronics,G1
C000439,2021-10-31,35,M,R07,1,Fashion,G4
C000441,2020-08-17,42,F,R04,1,Fashion,G3
C000443,2021-07-16,34,F,R04,1,Grocery,G3
C000444,2021-03-13,31,F,R03,0,Electronics,G3
C000446,2020-10-09,39,M,R04,1,Electronics,G2
C000449,2020-10-03,57,M,R01,0,Beauty,G4
C000450,2022-03-08,34,F,R05,0,Beauty,G2
C000452,2020-10-10,24,M,R03,1,Fashion,G5
C000454,2022-08-17,29,M,R06,1,Fashion,G5
C000456,2021-03-28,27,F,R02,1,Fashion,G2
C000460,2021-05-30,28,F,R02,1,Beauty,G5
C000462,2020-07-10,27,F,R04,0,Electronics,G1
C000464,2021-05-26,39,M,R05,1,Fashion,G1
C000465,2020-01-17,19,F,R02,1,Grocery,G2
C000466,2020-06-20,43,M,R01,0,Electronics,G3
C000469,2021-04-21,34,F,R03,1,Fashion,G3
C000480,2020-10-28,26,F,R01,0,Home,G2
C000481,2020-06-29,27,F,R05,1,Grocery,G2
C000483,2020-04-08,45,F,R07,0,Electronics,G3
C000486,2020-04-25,32,F,R04,0,Electronics,G2
C000487,2020-07-09,34,F,R01,0,Electronics,G3
C000491,2022-09-09,38,F,R06,0,Grocery,G1
C000493,2020-09-12,43,M,R03,0,Electronics,G3
C000494,2020-11-18,19,M,R03,0,Fashion,G4
C000496,2020-01-18,29,M,R03,0,Grocery,G2
C000497,2022-03-03,27,M,R05,1,Beauty,G3
C000498,2022-01-04,41,M,R02,0,Home,G2
C000499,2021-07-19,44,F,R04,1,Home,G4
C000501,2020-11-18,42,F,R07,0,Fashion,G5
C000504,2022-03-02,49,M,R03,1,Electronics,G3
C000508,2022-05-03,19,M,R05,0,Grocery,G3
C000510,2022-08-19,31,M,R06,1,Grocery,G4
C000512,2020-06-03,50,M,R03,0,Electronics,G4
C000514,2021-01-20,35,M,R06,1,Beauty,G2
C000515,2022-09-12,37,M,R05,0,Electronics,G2
C000516,2022-02-23,21,M,R01,1,Beauty,G3
C000518,2022-07-17,19,F,R03,0,Beauty,G4
C000519,2021-01-27,31,F,R01,1,Grocery,G2
C000522,2020-06-24,29,M,R06,0,Grocery,G2
C000524,2021-04-21,38,M,R06,1,Grocery,G4
C000527,2021-06-21,43,M,R07,0,Grocery,G4
C000528,2022-05-16,20,M,R06,1,Fashion,G3
C000529,2022-03-28,32,M,R02,0,Grocery,G3
C000531,2021-02-11,19,M,R07,1,Grocery,G2
C000532,2021-06-08,23,M,R06,0,Beauty,G2
C000534,2021-05-20,38,M,R05,1,Home,G1
C000535,2022-06-21,51,M,R07,0,Grocery,G3
C000536,2022-04-04,35,F,R05,1,Grocery,G2
C000538,2021-11-15,44,F,R05,1,Fashion,G3
C000539,2020-01-20,40,M,R01,1,Grocery,G3
C000541,2022-02-14,29,F,R03,0,Grocery,G3
C000542,2021-05-26,42,F,R02,1,Grocery,G5
C000545,2022-08-29,29,F,R04,1,Beauty,G5
C000546,2022-06-01,53,M,R04,0,Fashion,G2
C000547,2021-04-15,27,F,R07,0,Electronics,G4
C000548,2020-05-22,34,M,R04,1,Home,G5
C000552,2022-03-10,39,M,R06,1,Fashion,G1
C000553,2021-12-27,28,M,R02,1,Grocery,G2
C000554,2022-08-16,34,M,R01,1,Beauty,G3
C000555,2022-05-03,44,F,R02,1,Home,G2
C000556,2020-02-20,46,F,R02,1,Fashion,G4
C000558,2021-11-28,27,M,R05,1,Grocery,G5
C000559,2021-07-28,50,F,R06,1,Beauty,G2
C000560,2020-07-08,42,F,R06,1,Home,G5
C000561,2020-05-04,47,F,R05,1,Grocery,G2
C000566,2020-10-31,31,F,R07,1,Home,G2
C000567,2021-11-22,31,F,R03,1,Beauty,G5
C000568,2021-11-12,24,F,R01,1,Grocery,G4
C000569,2022-04-17,30,M,R07,1,Grocery,G5
C000570,2022-02-21,31,M,R05,1,Fashion,G5
C000571,2020-02-23,31,F,R05,0,Electronics,G4
C000572,2021-03-19,26,M,R05,1,Home,G3
C000575,2020-09-20,43,F,R05,1,Fashion,G3
C000577,2021-07-25,42,M,R03,1,Home,G2
C000578,2021-09-11,60,M,R06,1,Electronics,G4
C000580,2020-04-12,19,F,R03,0,Beauty,G1
C000581,2020-07-14,26,F,R06,0,Beauty,G4
C000584,2022-09-18,29,F,R07,1,Fashion,G3
C000585,2022-06-02,34,F,R02,0,Beauty,G3
C000588,2022-05-16,39,M,R02,0,Beauty,G1
C000589,2022-04-02,22,F,R05,1,Electronics,G3
C000590,2022-07-24,30,F,R06,0,Electronics,G1
C000592,2021-10-17,31,F,R06,0,Home,G3
C000593,2020-09-25,21,M,R02,0,Grocery,G3
C000595,2021-09-27,19,F,R05,0,Electronics,G2
C000596,2020-04-15,30,F,R03,1,Grocery,G3
C000597,2021-10-31,37,M,R02,1,Beauty,G3
C000598,2021-10-20,37,F,R06,1,Fashion,G3
C000600,2020-04-29,39,M,R01,1,Beauty,G5
C000601,2022-04-10,24,F,R07,1,Home,G4
C000603,2021-08-26,21,F,R02,0,Home,G4
C000604,2020-02-27,26,M,R07,0,Home,G2
C000606,2020-12-11,33,M,R07,0,Grocery,G2
C000607,2022-01-10,33,M,R03,1,Electronics,G3
C000608,2021-04-18,30,F,R03,0,Grocery,G5
C000609,2020-04-26,28,F,R04,1,Electronics,G3
C000610,2022-04-09,36,F,R04,1,Electronics,G3
C000611,2022-03-01,60,F,R01,1,Beauty,G4
C000614,2022-06-26,25,M,R03,1,Beauty,G5
C000616,2020-02-27,34,F,R05,1,Beauty,G2
C000618,2021-05-27,29,F,R05,1,Beauty,G4
C000620,2022-03-12,30,F,R06,1,Beauty,G5
C000621,2020-04-05,34,F,R04,1,Electronics,G4
C000622,2021-09-29,37,F,R03,1,Grocery,G3
C000623,2020-04-27,32,F,R06,1,Electronics,G2
C000624,2021-07-13,54,F,R03,1,Home,G1
C000627,2020-08-24,35,F,R04,0,Electronics,G2
C000632,2022-09-25,38,M,R01,1,Fashion,G2
C000634,2021-03-22,41,M,R07,0,Fashion,G3
C000635,2021-08-03,52,M,R06,0,Home,G4
C000636,2022-02-28,26,M,R02,1,Beauty,G2
C000637,2022-05-10,28,F,R03,1,Home,G3
C000638,2020-09-03,24,M,R06,0,Fashion,G4
C000639,2022-08-20,55,M,R07,1,Beauty,G3
C000640,2020-03-16,42,F,R06,1,Grocery,G3
C000641,2020-06-02,21,F,R06,1,Beauty,G1
C000642,2021-10-17,19,F,R07,1,Home,G3
C000645,2020-03-26,35,F,R01,0,Electronics,G1
C000646,2021-11-27,19,M,R03,0,Beauty,G2
C000649,2020-08-07,20,M,R04,1,Grocery,G3
C000650,2020-03-09,33,F,R04,1,Home,G3
C000651,2020-02-16,41,F,R06,1,Electronics,G3
C000655,2021-03-28,44,M,R06,0,Electronics,G2
C000657,2022-06-30,37,M,R04,1,Beauty,G4
C000658,2020-08-05,50,M,R02,0,Fashion,G2
C000659,2021-04-18,44,M,R05,0,Electronics,G2
C000660,2021-03-07,22,M,R03,1,Electronics,G2
C000661,2020-12-06,27,M,R04,1,Electronics,G3
C000662,2021-07-04,21,M,R03,1,Grocery,G1
C000664,2020-10-15,19,F,R06,1,Fashion,G1
C000666,2022-01-03,25,F,R06,1,Electronics,G4
C000667,2020-12-22,19,F,R02,0,Grocery,G2
C000668,2020-01-23,59,M,R04,0,Electronics,G3
C000669,2022-01-31,28,F,R03,1,Fashion,G4
C000671,2022-01-27,29,F,R04,0,Fashion,G5
C000672,2022-04-16,53,M,R03,1,Grocery,G3
C000679,2021-10-20,30,F,R04,1,Home,G2
C000683,2020-11-20,27,M,R02,1,Electronics,G5
C000684,2021-05-30,38,M,R07,1,Fashion,G4
C000685,2020-01-16,46,F,R05,0,Electronics,G2
C000687,2020-12-01,37,F,R02,1,Beauty,G3
C000688,2022-01-28,23,F,R05,0,Electronics,G4
C000692,2022-06-14,35,M,R01,0,Grocery,G3
C000693,2020-06-08,38,F,R05,0,Home,G3
C000694,2021-04-19,31,F,R07,1,Beauty,G4
C000695,2022-05-01,54,M,R05,1,Electronics,G2
C000700,2021-01-14,36,F,R04,1,Beauty,G4
C000705,2021-03-02,48,F,R04,1,Beauty,G2
C000706,2021-09-04,23,F,R05,1,Fashion,G3
C000707,2020-09-24,19,F,R07,1,Fashion,G5
C000708,2022-04-14,26,M,R05,1,Grocery,G2
C000710,2021-02-20,42,F,R07,1,Home,G2
C000711,2020-06-16,44,F,R05,1,Grocery,G4
C000712,2022-04-21,41,F,R07,0,Grocery,G2
C000715,2020-10-11,36,F,R06,1,Beauty,G3
C000716,2021-01-31,40,F,R01,1,Grocery,G3
C000718,2021-08-29,31,M,R04,0,Fashion,G4
C000720,2022-06-16,45,F,R03,0,Home,G5
C000722,2021-05-13,28,F,R04,1,Fashion,G5
C000723,2022-01-23,19,M,R04,1,Home,G3
C000724,2020-02-04,20,M,R03,1,Home,G3
C000726,2022-04-28,19,M,R05,0,Electronics,G4
C000727,2020-03-30,19,F,R03,1,Electronics,G4
C000728,2022-02-14,44,F,R05,0,Beauty,G4
C000729,2021-08-27,42,F,R01,1,Fashion,G4
C000732,2021-08-24,51,F,R06,1,Fashion,G4
C000733,2021-02-21,36,M,R07,1,Home,G2
C000734,2020-04-24,39,F,R02,0,Beauty,G4
C000735,2021-09-08,52,M,R05,1,Home,G2
C000736,2022-06-21,55,F,R05,1,Home,G1
C000737,2020-07-14,36,F,R07,0,Electronics,G4
C000738,2022-04-05,51,M,R06,1,Electronics,G1
C000739,2021-05-15,45,M,R01,1,Home,G1
C000740,2021-09-17,30,F,R05,1,Home,G5
C000741,2021-05-07,40,M,R05,0,Grocery,G1
C000742,2020-03-15,19,F,R04,1,Grocery,G1
C000743,2021-02-16,42,M,R03,1,Grocery,G3
C000744,2021-01-10,29,M,R05,1,Home,G3
C000745,2021-02-23,26,F,R04,1,Beauty,G4
C000746,2021-12-29,47,F,R02,0,Beauty,G2
C000747,2020-10-03,24,M,R01,1,Fashion,G5
C000748,2022-01-30,39,F,R02,0,Home,G2
C000749,2021-11-06,45,M,R04,1,Beauty,G5
C000751,2022-05-18,37,F,R04,1,Fashion,G3
C000752,2021-04-01,27,F,R03,1,Electronics,G2
C000754,2020-07-10,33,M,R03,1,Fashion,G4
C000756,2021-11-19,55,M,R01,0,Electronics,G2
C000758,2021-07-01,34,F,R05,1,Electronics,G4
C000761,2020-04-05,27,F,R04,0,Beauty,G1
C000762,2021-10-25,30,M,R06,1,Home,G4
C000764,2020-07-08,32,M,R04,1,Beauty,G3
C000765,2022-01-05,43,M,R01,1,Electronics,G3
C000766,2020-02-06,57,M,R07,1,Grocery,G2
C000768,2021-01-03,25,M,R07,0,Home,G2
C000769,2021-11-25,24,F,R01,1,Home,G5
C000770,2021-06-08,35,F,R02,0,Fashion,G4
C000771,2020-10-05,36,M,R07,0,Fashion,G4
C000775,2022-03-08,41,F,R04,1,Home,G2
C000777,2022-05-30,28,M,R07,1,Electronics,G3
C000779,2021-08-18,34,M,R04,1,Fashion,G4
C000782,2020-12-07,29,F,R04,1,Fashion,G2
C000784,2021-11-29,43,M,R03,0,Grocery,G4
C000786,2020-06-25,53,M,R03,1,Electronics,G3
C000787,2021-09-03,44,M,R06,0,Fashion,G4
C000788,2021-01-30,23,M,R04,1,Fashion,G4
C000790,2020-08-20,28,F,R04,0,Fashion,G3
C000792,2020-03-16,40,F,R02,1,Fashion,G3
C000793,2020-09-21,32,F,R02,1,Home,G2
C000795,2022-03-06,28,M,R03,1,Electronics,G4
C000797,2022-01-04,38,F,R01,0,Grocery,G4
C000798,2021-01-18,32,F,R04,1,Grocery,G4
C000799,2021-07-17,37,F,R05,1,Beauty,G4
C000800,2022-04-30,44,F,R05,1,Electronics,G2
C000802,2021-01-01,22,F,R01,1,Beauty,G5
C000806,2020-04-08,48,M,R03,1,Grocery,G1
C000807,2021-01-30,30,M,R07,1,Electronics,G3
C000811,2021-04-13,39,F,R06,1,Beauty,G5
C000814,2020-05-30,23,M,R05,1,Grocery,G2
C000815,2020-05-23,58,M,R07,0,Grocery,G4
C000816,2021-07-22,37,F,R03,0,Home,G1
C000817,2020-02-08,49,F,R01,0,Beauty,G3
C000818,2020-04-18,44,F,R06,1,Electronics,G4
C000819,2021-11-23,36,F,R06,0,Fashion,G4
C000820,2020-02-11,24,F,R02,1,Grocery,G3
C000824,2020-08-10,39,F,R07,0,Beauty,G4
C000825,2021-09-25,39,M,R01,1,Fashion,G5
C000826,2020-05-12,41,F,R03,1,Electronics,G3
C000827,2020-06-11,26,F,R03,0,Beauty,G2
